layer,delta_pct,new_weight,overall_score_change_worst,dim_RT_worst,dim_SC_worst,dim_ER_worst,dim_AR_worst,dim_DS_worst,dim_SR_worst,contrib_geo_worst,contrib_bio_worst,contrib_family_worst,contrib_culture_worst,contrib_social_worst,contrib_econ_worst,contrib_cognitive_worst,contrib_modulator_worst,contrib_subacute_worst,completeness_change_worst
geo,-0.2,0.0800,0.1375,-0.1375,0.0743,0.0817,-0.0817,0.0817,-0.0956,0.1110,0.0688,0.0446,0.0050,0.0050,0.0217,0.0046,0.0371,0.0423,0.0000
geo,-0.1,0.0900,0.0661,-0.0661,0.0366,0.0403,-0.0403,0.0403,-0.0472,0.0534,0.0330,0.0220,0.0025,0.0025,0.0107,0.0023,0.0183,0.0203,0.0000
geo,0,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
geo,0.1,0.1100,0.0613,0.0613,-0.0355,-0.0391,0.0391,-0.0391,0.0460,0.0495,0.0307,0.0213,0.0025,0.0025,0.0104,0.0023,0.0178,0.0189,0.0000
geo,0.2,0.1200,0.1184,0.1184,-0.0700,-0.0771,0.0771,-0.0771,0.0909,0.0956,0.0592,0.0420,0.0050,0.0050,0.0206,0.0046,0.0350,0.0364,0.0000
bio,-0.2,0.0640,0.1973,0.1973,0.0129,-0.0165,-0.0038,0.0036,0.0325,0.0661,0.0986,0.0053,0.0039,0.0039,0.0169,0.0036,0.0090,0.0325,0.0000
bio,-0.1,0.0720,0.0957,0.0957,0.0064,-0.0081,-0.0019,0.0018,0.0161,0.0321,0.0478,0.0026,0.0020,0.0020,0.0083,0.0018,0.0045,0.0158,0.0000
bio,0,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
bio,0.1,0.0880,0.0902,-0.0902,-0.0063,0.0080,0.0019,-0.0018,-0.0158,0.0302,0.0451,0.0026,0.0020,0.0020,0.0082,0.0018,0.0044,0.0149,0.0000
bio,0.2,0.0960,0.1755,-0.1755,-0.0124,0.0158,0.0038,-0.0036,-0.0313,0.0588,0.0877,0.0053,0.0039,0.0039,0.0162,0.0036,0.0087,0.0289,0.0000
family,-0.2,0.1440,0.1513,-0.1513,0.1513,-0.0504,0.0504,-0.0504,0.0504,0.0504,0.0073,0.1261,0.0099,0.0204,0.0360,0.0204,0.0756,0.0164,0.0000
family,-0.1,0.1620,0.0734,-0.0734,0.0734,-0.0245,0.0245,-0.0245,0.0245,0.0245,0.0037,0.0611,0.0050,0.0101,0.0176,0.0101,0.0367,0.0083,0.0000
family,0,0.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
family,0.1,0.1980,0.0692,0.0692,-0.0692,0.0231,-0.0231,0.0231,-0.0231,0.0231,0.0038,0.0577,0.0050,0.0098,0.0168,0.0098,0.0346,0.0086,0.0000
family,0.2,0.2160,0.1346,0.1346,-0.1346,0.0449,-0.0449,0.0449,-0.0449,0.0449,0.0078,0.1122,0.0099,0.0192,0.0330,0.0192,0.0673,0.0175,0.0000
culture,-0.2,0.0960,0.0242,0.0171,0.0242,-0.0159,0.0194,-0.0057,0.0222,0.0057,0.0046,0.0083,0.0451,0.0062,0.0072,0.0056,0.0074,0.0103,0.0000
culture,-0.1,0.1080,0.0121,0.0085,0.0121,-0.0080,0.0097,-0.0029,0.0111,0.0029,0.0023,0.0042,0.0226,0.0031,0.0036,0.0028,0.0037,0.0052,0.0000
culture,0,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
culture,0.1,0.1320,0.0121,-0.0085,-0.0121,0.0080,-0.0097,0.0029,-0.0111,0.0030,0.0024,0.0042,0.0226,0.0031,0.0036,0.0028,0.0037,0.0053,0.0000
culture,0.2,0.1440,0.0242,-0.0171,-0.0242,0.0159,-0.0194,0.0058,-0.0222,0.0060,0.0048,0.0083,0.0451,0.0062,0.0072,0.0056,0.0074,0.0108,0.0000
social,-0.2,0.0960,0.0303,0.0118,-0.0303,0.0114,-0.0078,0.0215,-0.0050,0.0057,0.0046,0.0178,0.0062,0.0487,0.0072,0.0125,0.0148,0.0103,0.0000
social,-0.1,0.1080,0.0152,0.0059,-0.0152,0.0057,-0.0039,0.0108,-0.0025,0.0029,0.0023,0.0088,0.0031,0.0241,0.0036,0.0062,0.0073,0.0052,0.0000
social,0,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
social,0.1,0.1320,0.0152,-0.0059,0.0152,-0.0057,0.0039,-0.0108,0.0025,0.0030,0.0024,0.0086,0.0031,0.0237,0.0036,0.0061,0.0072,0.0053,0.0000
social,0.2,0.1440,0.0303,-0.0118,0.0303,-0.0114,0.0078,-0.0215,0.0050,0.0060,0.0048,0.0171,0.0062,0.0469,0.0072,0.0121,0.0143,0.0108,0.0000
econ,-0.2,0.1120,0.0673,-0.0109,-0.0330,-0.0673,-0.0279,0.0363,0.0572,0.0204,0.0184,0.0354,0.0073,0.0073,0.0757,0.0067,0.0345,0.0123,0.0000
econ,-0.1,0.1260,0.0330,-0.0055,-0.0162,-0.0330,-0.0137,0.0178,0.0281,0.0100,0.0090,0.0174,0.0037,0.0037,0.0372,0.0034,0.0170,0.0062,0.0000
econ,0,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
econ,0.1,0.1540,0.0318,0.0057,0.0156,0.0318,0.0132,-0.0172,-0.0271,0.0096,0.0087,0.0169,0.0037,0.0037,0.0358,0.0034,0.0164,0.0064,0.0000
econ,0.2,0.1680,0.0626,0.0115,0.0307,0.0626,0.0260,-0.0337,-0.0531,0.0190,0.0171,0.0332,0.0073,0.0073,0.0704,0.0067,0.0324,0.0129,0.0000
cognitive,-0.2,0.0880,0.0229,-0.0083,0.0059,0.0093,-0.0108,0.0229,-0.0119,0.0052,0.0042,0.0161,0.0056,0.0113,0.0065,0.0491,0.0134,0.0094,0.0000
cognitive,-0.1,0.0990,0.0113,-0.0042,0.0029,0.0046,-0.0054,0.0113,-0.0059,0.0026,0.0021,0.0080,0.0028,0.0056,0.0033,0.0244,0.0066,0.0047,0.0000
cognitive,0,0.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
cognitive,0.1,0.1210,0.0111,0.0043,-0.0029,-0.0045,0.0053,-0.0111,0.0058,0.0027,0.0021,0.0078,0.0028,0.0055,0.0033,0.0239,0.0065,0.0048,0.0000
cognitive,0.2,0.1320,0.0221,0.0087,-0.0059,-0.0090,0.0105,-0.0221,0.0115,0.0054,0.0043,0.0155,0.0056,0.0110,0.0065,0.0475,0.0130,0.0097,0.0000
modulator,-0.2,0.1200,0.2243,0.2243,-0.2243,-0.0401,0.0401,-0.0401,0.0401,0.0401,0.0200,0.0721,0.0080,0.0163,0.0349,0.0163,0.1121,0.0133,0.0000
modulator,-0.1,0.1350,0.1095,0.1095,-0.1095,-0.0195,0.0195,-0.0195,0.0195,0.0195,0.0098,0.0352,0.0040,0.0081,0.0171,0.0081,0.0547,0.0067,0.0000
modulator,0,0.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
modulator,0.1,0.1650,0.1045,-0.1045,0.1045,0.0187,-0.0187,0.0187,-0.0187,0.0187,0.0094,0.0336,0.0040,0.0079,0.0164,0.0079,0.0522,0.0069,0.0000
modulator,0.2,0.1800,0.2042,-0.2042,0.2042,0.0365,-0.0365,0.0365,-0.0365,0.0365,0.0184,0.0656,0.0080,0.0155,0.0323,0.0155,0.1021,0.0140,0.0000
